Date,SENT_ORTHO_RISK,BWsent
200604,16.56156853,-0.34
200605,15.59394001,-0.25
200606,15.06315885,-0.19
200607,14.16000256,-0.12
200608,14.32030124,-0.08
200609,14.04514103,-0.06
200610,14.42672565,-0.05
200611,14.60297318,0
200612,14.65069892,0.06
200701,14.951214,0.1
200702,15.13691692,0.17
200703,14.95698174,0.24
200704,15.28260619,0.3
200705,14.95630697,0.3
200706,14.98148322,0.35
200707,15.00933901,0.27
200708,14.24167217,0.33
200709,14.53281352,0.32
200710,14.8465612,0.36
200711,13.63706029,0.39
200712,13.58846842,0.47
200801,12.75565516,NA
200802,12.82705307,NA
200803,11.73745841,NA
200804,11.75413824,NA
200805,12.41058038,NA
200806,12.71843928,NA
200807,12.00244653,NA
200808,11.47388588,NA
200809,9.626708165,NA
200810,7.731316307,NA
200811,6.082845864,NA
200812,5.836261107,NA
200901,7.502301977,NA
200902,7.446305917,NA
200903,7.803769662,NA
200904,8.678576353,NA
200905,10.11670642,NA
200906,11.50980204,NA
200907,11.35798195,NA
200908,12.11401567,NA
